213,203,110,72
214,199,108,71
223,199,107,70
234,204,106,69
248,203,105,69
260,204,104,68
272,211,104,68
281,219,103,67
286,219,103,67
290,217,102,67
296,215,102,67
303,212,102,67
312,210,102,67
323,201,102,67
332,193,102,67
341,187,103,67
351,183,103,67
356,174,102,67
367,158,102,67
377,158,102,67
387,155,102,66
400,149,101,66
414,153,101,66
432,152,100,66
444,157,100,65
449,164,100,65
441,168,100,66
416,165,102,66
420,163,102,67
427,163,102,66
434,175,101,66
439,178,101,66
443,182,101,66
447,189,102,66
453,190,103,67
454,191,103,67
455,190,103,67
452,188,104,68
448,188,104,68
442,189,103,67
436,188,102,67
437,175,100,66
436,157,101,66
442,141,101,66
448,131,101,66
448,132,100,65
425,135,101,66
416,131,103,67
422,130,104,68
432,136,105,69
434,144,106,69
445,146,107,70
456,158,108,71
465,169,109,71
467,175,111,73
478,187,112,73
522,184,111,72
537,180,110,72
545,187,109,71
561,194,108,70
569,190,107,70
564,201,106,69
467,204,105,69
424,196,107,70
394,198,109,71
404,197,110,72
419,191,111,73
437,184,111,72
438,184,110,72
436,183,110,72
430,179,110,72
424,178,110,72
418,176,110,72
414,176,110,72
413,178,109,71
411,177,109,71
411,176,108,71
414,182,108,70
414,182,108,70
412,179,106,69
409,178,105,69
395,178,105,68
346,174,107,70
331,175,109,71
307,180,109,71
306,180,109,71
312,178,109,71
313,176,109,71
317,172,109,71
317,173,109,71
314,171,110,72
305,165,109,71
304,162,108,70
302,160,107,70
300,158,105,69
300,153,104,68
297,150,103,67
288,150,102,66
287,146,101,66
284,144,100,65
283,146,99,64
283,146,98,64
283,143,97,63
285,141,96,63
285,141,96,63
276,141,96,62
276,138,95,62
285,135,96,63
326,139,97,63
333,137,96,63
330,137,95,62
325,137,94,61
321,135,92,60
319,134,91,60
316,130,90,59
315,127,90,59
314,123,89,58
314,121,89,58
313,118,88,58
312,119,88,57
315,122,87,57
315,126,87,57
319,133,87,56
323,139,87,56
327,143,86,56
333,148,86,56
337,150,86,56
343,153,86,56
350,158,86,56
356,162,85,56
358,164,85,55
359,163,84,55
360,165,84,55
361,165,84,55
362,164,83,54
363,164,83,54
363,164,83,54
365,166,83,54
367,164,82,54
366,165,82,54
364,169,82,54
364,172,82,54
364,173,83,54
369,179,83,54
371,182,82,54
373,182,82,54
376,188,82,54
379,191,82,54
380,195,82,54
382,199,82,53
382,199,82,53
382,199,82,53
385,196,82,53
389,194,82,53
392,195,82,53
395,195,82,53
399,195,81,53
401,196,81,53
404,198,81,53
407,199,81,53
408,200,81,53
407,201,80,52
407,199,80,52
407,199,80,52
407,199,80,52
406,198,80,52
405,198,80,52
405,199,80,52
404,200,80,52
402,199,80,52
397,202,80,52
393,205,80,52
391,205,80,52
387,209,80,52
384,210,80,52
380,208,80,52
373,207,80,52
364,208,80,52
354,211,80,52
348,212,80,52
345,211,80,52
339,209,81,53
334,208,81,53
326,207,80,53
319,207,80,52
314,207,80,52
310,203,81,53
308,199,81,53
308,195,81,53
306,190,81,53
302,186,81,53
297,185,81,53
296,185,81,53
296,182,81,53
296,181,81,53
296,181,81,53
296,181,81,53
296,181,81,53
296,181,81,53
292,181,82,53
291,179,83,54
289,181,84,55
287,180,85,55
284,182,86,56
284,182,86,56
282,181,86,56
279,184,87,57
275,187,88,57
274,188,88,58
271,189,89,58
268,189,89,58
266,187,90,59
264,182,91,59
260,178,92,60
260,176,92,60
257,176,92,60
256,178,92,60
256,180,92,60
256,182,92,60
255,184,92,60
256,184,91,60
256,184,91,60
254,184,92,60
255,182,92,60
255,174,92,60
254,171,93,61
250,168,93,61
249,168,93,61
247,169,93,61
247,171,93,61
248,174,94,61
248,179,94,62
249,186,95,62
252,190,97,63
251,191,98,64
257,193,99,65
259,190,100,65
258,188,101,66
257,186,102,67
259,183,103,68
262,181,104,68
264,177,106,69
267,171,108,70
270,168,110,72
271,170,111,72
276,169,111,72
279,146,111,72
279,160,111,72
278,190,111,72
282,192,111,72
